epoch,year,month,day,hour,minute,open,high,low,close,volume
1759408500,2025,10,2,12,35,668.215,668.3,667.93,668.055,305061
1759408200,2025,10,2,12,30,668.13,668.25,667.98,668.21,257080
1759407900,2025,10,2,12,25,667.979,668.23,667.85,668.1389,320107
1759407600,2025,10,2,12,20,668.18,668.18,667.85,667.9795,370412
1759407300,2025,10,2,12,15,668.02,668.2582,667.97,668.1893,301970
1759407000,2025,10,2,12,10,667.93,668.075,667.72,668.04,327920
1759406700,2025,10,2,12,5,668.1,668.115,667.61,667.935,336591
1759406400,2025,10,2,12,0,668.35,668.35,668.03,668.1,464951
1759406100,2025,10,2,11,55,668.05,668.42,668.05,668.35,467151
1759405800,2025,10,2,11,50,667.375,668.08,667.35,668.075,396954
1759405500,2025,10,2,11,45,667.34,667.54,667.18,667.3801,294859
1759405200,2025,10,2,11,40,667.31,667.68,667.27,667.35,495120
1759404900,2025,10,2,11,35,667.32,667.42,666.78,667.2999,706709
1759404600,2025,10,2,11,30,667.6488,667.7,667.26,667.32,438944
1759404300,2025,10,2,11,25,667.74,667.925,667.57,667.67,439455
1759404000,2025,10,2,11,20,667.37,667.86,667.23,667.77,467030
1759403700,2025,10,2,11,15,667.41,667.46,667.18,667.38,377948
1759403400,2025,10,2,11,10,667.77,668.12,667.27,667.415,609006
1759403100,2025,10,2,11,5,667.06,667.89,667.06,667.81,963535
1759402800,2025,10,2,11,0,667.57,667.71,667.02,667.0599,870364
1759402500,2025,10,2,10,55,667.63,667.89,667.54,667.565,713882
1759402200,2025,10,2,10,50,668.07,668.07,667.61,667.635,596086
1759401900,2025,10,2,10,45,668.34,668.42,667.71,668.075,843227
1759401600,2025,10,2,10,40,668.875,668.88,668.2,668.335,648546
1759401300,2025,10,2,10,35,668.425,668.9151,668.39,668.885,600478
1759401000,2025,10,2,10,30,668.72,669.02,668.255,668.42,661108
1759400700,2025,10,2,10,25,668.56,668.99,668.465,668.7113,736302
1759400400,2025,10,2,10,20,668.5,668.685,668.29,668.56,835039
1759400100,2025,10,2,10,15,668.61,668.87,668.48,668.51,864084
1759399800,2025,10,2,10,10,668.96,669.0,668.46,668.63,746054
1759399500,2025,10,2,10,5,669.39,669.5299,668.93,668.94,573479
1759399200,2025,10,2,10,0,669.41,669.41,668.97,669.375,856937
1759398900,2025,10,2,9,55,669.5,669.54,668.83,669.42,805997
1759398600,2025,10,2,9,50,669.1,669.6385,668.75,669.51,1304617
1759398300,2025,10,2,9,45,669.04,669.62,668.89,669.1,1515704
1759398000,2025,10,2,9,40,669.815,669.8225,668.885,669.045,1387953
1759397700,2025,10,2,9,35,670.22,670.47,669.75,669.815,1301272
1759397400,2025,10,2,9,30,670.45,670.565,669.84,670.225,2016284
1759334100,2025,10,1,15,55,668.72,668.97,668.48,668.51,4327767
1759333800,2025,10,1,15,50,669.04,669.18,668.7,668.71,1705451
1759333500,2025,10,1,15,45,668.79,669.13,668.7,669.025,1522622
1759333200,2025,10,1,15,40,669.03,669.21,668.77,668.79,1027076
1759332900,2025,10,1,15,35,669.23,669.23,668.99,669.03,1056999
1759332600,2025,10,1,15,30,669.12,669.26,668.96,669.22,689442
1759332300,2025,10,1,15,25,668.79,669.15,668.725,669.125,664766
1759332000,2025,10,1,15,20,668.88,668.96,668.75,668.79,948422
1759331700,2025,10,1,15,15,669.105,669.155,668.855,668.8799,603947
1759331400,2025,10,1,15,10,669.165,669.205,668.88,669.1,652735
1759331100,2025,10,1,15,5,669.34,669.37,669.13,669.16,526211
1759330800,2025,10,1,15,0,669.13,669.35,669.1,669.34,507685
1759330500,2025,10,1,14,55,669.1491,669.2001,669.0113,669.13,510932
1759330200,2025,10,1,14,50,669.28,669.35,669.135,669.1501,507597
1759329900,2025,10,1,14,45,669.15,669.33,669.1,669.29,476165
1759329600,2025,10,1,14,40,669.01,669.24,668.96,669.15,566749
1759329300,2025,10,1,14,35,668.94,669.0892,668.85,669.02,374552
1759329000,2025,10,1,14,30,668.775,668.94,668.73,668.93,494583
1759328700,2025,10,1,14,25,668.74,668.935,668.7,668.77,474105
1759328400,2025,10,1,14,20,668.79,668.845,668.52,668.74,548957
1759328100,2025,10,1,14,15,668.6,668.8,668.58,668.7912,659795
1759327800,2025,10,1,14,10,668.48,668.7,668.33,668.6,525856
1759327500,2025,10,1,14,5,668.23,668.5,668.22,668.48,541871
1759327200,2025,10,1,14,0,667.95,668.42,667.89,668.225,923823
1759326900,2025,10,1,13,55,667.8301,667.98,667.79,667.955,370991
1759326600,2025,10,1,13,50,667.805,667.925,667.76,667.83,424104
1759326300,2025,10,1,13,45,667.8,667.87,667.605,667.81,321067
1759326000,2025,10,1,13,40,667.83,667.92,667.61,667.81,596017
1759325700,2025,10,1,13,35,667.9,667.925,667.78,667.83,343927
1759325400,2025,10,1,13,30,667.98,668.035,667.725,667.8986,538253
1759325100,2025,10,1,13,25,667.83,668.09,667.785,667.97,613918
