epoch,year,month,day,hour,minute,open,high,low,close
1693317600,2023,8,29,14,0,181.9367,182.0853,181.8981,182.006
1693317300,2023,8,29,13,55,181.9912,181.9912,181.7287,181.9416
1693317000,2023,8,29,13,50,182.1397,182.2338,181.8377,181.9961
1693316700,2023,8,29,13,45,182.0308,182.1546,181.9961,182.125
1693316400,2023,8,29,13,40,182.0654,182.11,181.9961,182.0357
1693316100,2023,8,29,13,35,181.9654,182.1645,181.9349,182.0654
1693315800,2023,8,29,13,30,181.9763,182.0853,181.902,181.9571
1693315500,2023,8,29,13,25,182.0148,182.0457,181.9268,181.9763
1693315200,2023,8,29,13,20,181.8079,182.0159,181.7623,182.0159
1693314900,2023,8,29,13,15,181.7881,181.9466,181.7386,181.8079
1693314600,2023,8,29,13,10,181.9317,181.9565,181.7782,181.798
1693314300,2023,8,29,13,5,181.9169,182.0209,181.8575,181.9367
1693314000,2023,8,29,13,0,181.8377,181.9268,181.6952,181.9119
1693313700,2023,8,29,12,55,181.8079,181.9169,181.7654,181.8278
1693313400,2023,8,29,12,50,181.7881,181.9169,181.7287,181.7981
1693313100,2023,8,29,12,45,181.8871,181.9862,181.7777,181.7867
1693312800,2023,8,29,12,40,181.7485,181.9545,181.6891,181.8822
1693312500,2023,8,29,12,35,181.9565,181.9763,181.6298,181.7485
1693312200,2023,8,29,12,30,181.8228,181.9763,181.7386,181.9565
1693311900,2023,8,29,12,25,181.6495,181.8278,181.6,181.8228
1693311600,2023,8,29,12,20,181.5306,181.6891,181.5026,181.6494
1693311300,2023,8,29,12,15,181.5009,181.6,181.3672,181.5158
1693311000,2023,8,29,12,10,181.6011,181.6792,181.4861,181.5099
1693310700,2023,8,29,12,5,181.5653,181.6647,181.4118,181.6
1693310400,2023,8,29,12,0,181.4266,181.7287,181.3722,181.5677
1693310100,2023,8,29,11,55,181.6544,181.6693,181.3425,181.4266
1693309800,2023,8,29,11,50,181.6,181.7288,181.5504,181.6594
1693309500,2023,8,29,11,45,181.7387,181.7683,181.5306,181.6099
1693309200,2023,8,29,11,40,181.6097,181.7683,181.5802,181.7436
1693308900,2023,8,29,11,35,181.5306,181.6841,181.4949,181.608
1693308600,2023,8,29,11,30,181.2731,181.5405,181.2533,181.5306
1693308300,2023,8,29,11,25,181.1939,181.283,181.1741,181.2731
1693308000,2023,8,29,11,20,181.3524,181.3524,181.0859,181.1939
1693307700,2023,8,29,11,15,181.2038,181.3623,181.0602,181.3524
1693307400,2023,8,29,11,10,180.8869,181.2632,180.8572,181.2137
1693307100,2023,8,29,11,5,180.7581,180.8869,180.6343,180.877
1693306800,2023,8,29,11,0,180.55,180.8473,180.5303,180.7581
1693306500,2023,8,29,10,55,180.5898,180.6492,180.4709,180.5452
1693306200,2023,8,29,10,50,180.8076,180.9166,180.5899,180.5997
1693305900,2023,8,29,10,45,180.6195,180.8572,180.461,180.8126
1693305600,2023,8,29,10,40,180.4858,180.7482,180.4808,180.6145
1693305300,2023,8,29,10,35,180.669,180.8374,180.461,180.4808
1693305000,2023,8,29,10,30,180.6591,180.7284,180.5402,180.6768
1693304700,2023,8,29,10,25,180.4808,180.8175,180.4512,180.6492
1693304400,2023,8,29,10,20,180.2926,180.5501,180.253,180.4907
1693304100,2023,8,29,10,15,180.0351,180.4023,180.0252,180.2926
1693303800,2023,8,29,10,10,179.8519,180.0946,179.6588,180.0401
1693303500,2023,8,29,10,5,179.8569,180.1243,179.8024,179.847
1693303200,2023,8,29,10,0,179.1735,179.9163,179.124,179.842
1693302900,2023,8,29,9,55,179.2081,179.2427,179.0348,179.1735
1693302600,2023,8,29,9,50,179.3022,179.4112,179.1434,179.2044
1693302300,2023,8,29,9,45,178.5396,179.3318,178.523,179.3022
1693302000,2023,8,29,9,40,178.2821,178.6981,178.2623,178.5297
1693301700,2023,8,29,9,35,178.2772,178.6288,178.2524,178.2673
1693301400,2023,8,29,9,30,177.9701,178.3713,177.777,178.2722
1693238100,2023,8,28,15,55,178.3118,178.5495,178.2029,178.4802
1693237800,2023,8,28,15,50,178.5693,178.6139,178.2425,178.3118
1693237500,2023,8,28,15,45,178.4356,178.8565,178.4035,178.5594
1693237200,2023,8,28,15,40,178.292,178.4703,178.2524,178.4356
1693236900,2023,8,28,15,35,178.188,178.3663,178.1741,178.292
1693236600,2023,8,28,15,30,178.1633,178.2524,178.0791,178.193
1693236300,2023,8,28,15,25,178.1184,178.2425,178.0692,178.1781
1693236000,2023,8,28,15,20,178.2326,178.2524,178.0048,178.1187
1693235700,2023,8,28,15,15,178.2413,178.2623,178.1067,178.2227
1693235400,2023,8,28,15,10,178.2375,178.2821,178.1435,178.2388
1693235100,2023,8,28,15,5,178.1508,178.2425,178.0444,178.2375
1693234800,2023,8,28,15,0,178.0939,178.1484,178.0147,178.1435
1693234500,2023,8,28,14,55,178.0939,178.1237,177.9256,178.0939
1693234200,2023,8,28,14,50,178.0098,178.0939,177.9355,178.0939
1693233900,2023,8,28,14,45,177.9949,178.0543,177.9157,178.0071
1693233600,2023,8,28,14,40,177.985,178.1137,177.9665,177.995
1693233300,2023,8,28,14,35,177.7572,178.0395,177.7473,177.9751
1693233000,2023,8,28,14,30,177.8265,177.8265,177.6285,177.7569
1693232700,2023,8,28,14,25,177.7275,177.8661,177.6978,177.816
1693232400,2023,8,28,14,20,177.5492,177.7275,177.5195,177.7126
1693232100,2023,8,28,14,15,177.6285,177.7275,177.5393,177.5492
1693231800,2023,8,28,14,10,177.7275,177.7275,177.5344,177.6297
1693231500,2023,8,28,14,5,177.6582,177.7671,177.5789,177.7324
1693231200,2023,8,28,14,0,177.6185,177.7473,177.5794,177.6681
1693230900,2023,8,28,13,55,177.6879,177.6879,177.4189,177.6185
1693230600,2023,8,28,13,50,177.985,177.9949,177.6582,177.6878
1693230300,2023,8,28,13,45,177.9949,178.0345,177.9157,177.9899
1693230000,2023,8,28,13,40,178.1435,178.193,177.9553,177.9952
1693229700,2023,8,28,13,35,178.3069,178.3069,178.0163,178.1534
1693229400,2023,8,28,13,30,178.2326,178.3613,178.2276,178.3019
1693229100,2023,8,28,13,25,178.2128,178.2623,178.1484,178.2276
1693228800,2023,8,28,13,20,178.0989,178.3118,178.0989,178.2178
1693228500,2023,8,28,13,15,178.2375,178.2425,178.0246,178.1038
1693228200,2023,8,28,13,10,178.3019,178.3415,178.1841,178.2425
1693227900,2023,8,28,13,5,178.1633,178.4108,178.1633,178.3108
1693227600,2023,8,28,13,0,177.886,178.193,177.8661,178.1702
1693227300,2023,8,28,12,55,177.6582,177.886,177.6185,177.8761
1693227000,2023,8,28,12,50,177.4932,177.6879,177.4932,177.6631
1693226700,2023,8,28,12,45,177.4799,177.6185,177.47,177.4937
1693226400,2023,8,28,12,40,177.4304,177.5853,177.3511,177.4848
1693226100,2023,8,28,12,35,177.1123,177.4403,177.1085,177.4293
1693225800,2023,8,28,12,30,177.1035,177.1976,177.0342,177.1035
1693225500,2023,8,28,12,25,177.0887,177.1432,177.0144,177.0936
1693225200,2023,8,28,12,20,177.1233,177.1432,177.0046,177.0936
1693224900,2023,8,28,12,15,177.3511,177.3773,177.1184,177.1233
1693224600,2023,8,28,12,10,177.3165,177.3957,177.2026,177.3561
1693224300,2023,8,28,12,5,177.2521,177.3313,177.1433,177.3214
1693224000,2023,8,28,12,0,177.1828,177.262,177.0837,177.2571
1693223700,2023,8,28,11,55,177.0439,177.1976,177.0144,177.1927
1693223400,2023,8,28,11,50,176.9649,177.0936,176.8658,177.0441
1693223100,2023,8,28,11,45,177.0243,177.1531,176.9055,176.9748
1693222800,2023,8,28,11,40,177.3016,177.3412,176.8312,177.0293
1693222500,2023,8,28,11,35,177.2412,177.3511,177.1828,177.3016
1693222200,2023,8,28,11,30,177.054,177.2862,176.955,177.2372
1693221900,2023,8,28,11,25,177.1035,177.3313,176.9649,177.0621
1693221600,2023,8,28,11,20,177.1283,177.262,177.0837,177.1025
1693221300,2023,8,28,11,15,177.2521,177.3115,177.0936,177.1333
1693221000,2023,8,28,11,10,177.3214,177.3264,177.0936,177.2521
1693220700,2023,8,28,11,5,177.2719,177.3809,177.0837,177.3165
1693220400,2023,8,28,11,0,177.2917,177.4106,177.2224,177.2769
1693220100,2023,8,28,10,55,177.1531,177.3871,177.0936,177.2967
1693219800,2023,8,28,10,50,177.3511,177.4799,176.9649,177.1432
1693219500,2023,8,28,10,45,177.361,177.47,177.2422,177.361
1693219200,2023,8,28,10,40,177.5591,177.6384,177.3016,177.3622
1693218900,2023,8,28,10,35,177.8265,177.9553,177.5393,177.5689
1693218600,2023,8,28,10,30,178.0741,178.0741,177.7869,177.8166
1693218300,2023,8,28,10,25,178.1136,178.2029,178.0076,178.0642
1693218000,2023,8,28,10,20,177.5492,178.1137,177.4601,178.1137
1693217700,2023,8,28,10,15,177.2719,177.569,177.1531,177.5493
1693217400,2023,8,28,10,10,177.4106,177.5245,177.1134,177.2719
1693217100,2023,8,28,10,5,177.361,178.292,177.0738,177.4007
1693216800,2023,8,28,10,0,177.569,177.6978,177.2323,177.3809
1693216500,2023,8,28,9,55,177.7275,177.8959,177.5394,177.569
1693216200,2023,8,28,9,50,177.6185,177.7374,177.2126,177.7374
1693215900,2023,8,28,9,45,177.4947,177.7671,177.3412,177.6136
1693215600,2023,8,28,9,40,177.6086,177.6185,177.2026,177.4997
1693215300,2023,8,28,9,35,178.2524,178.4257,177.4997,177.6136
1693215000,2023,8,28,9,30,178.3613,178.4703,177.678,178.2623
1692978900,2023,8,25,15,55,176.8163,177.2026,176.7272,176.8857
1692978600,2023,8,25,15,50,177.1333,177.2224,176.7866,176.8261
